tship_code,township,district,district_code,rain_annual_mean_mm,rain_annual_last5_mean_mm,rain_wet_season_share,rain_extreme_months,rain_annual_trend_mm_yr,rain_annual_trend_pct_yr,rain_p95_monthly_mm,rain_total_months,elev_mean_m,elev_min_m,elev_max_m,slope_mean_pct,pcode,pop_est,child_share,elderly_share,pop_urban,pop_rural,schools,health_facilities,rfh_mean,r1h_mean,r3h_mean,rfh_p95,n_obs,area_km2,pop_density
T11,Hlegu,North,MMR013D001,2742.846154297358,3031.9176188804954,0.8266743502239106,28,16.73366407980731,0.6100839470558644,737.8103903961178,547,36.36994934082031,-1.718136191368103,487.4893798828125,7.577688889168292,MMR013004,270741,0.2885968508648487,0.04790556288112994,40078,230663.0,22,16,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,1510.1708583120057,179.27838993173322
T12,Htantabin,North,MMR013D001,2269.795982548647,2590.306852826947,0.8046118182273482,28,16.16627966328186,0.712234922767354,589.3033232036385,547,4.065871238708496,-4.661367893218994,23.26786231994629,1.5007675730210939,MMR013006,145792,0.2964771729587357,0.04755404960491659,9019,136773.0,9,12,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,599.305816244372,243.26812129677728
T13,Botahtaung,East,MMR013D002,2345.9514061027103,2683.9191387176515,0.7739141158525604,28,14.620371456925273,0.6232171484410178,598.154504394531,547,8.840450286865234,0.5,23.0657901763916,6.05156519151313,MMR013017,40995,0.17331381875838517,0.07230150018294915,40995,0.0,19,21,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,2.4882641493598214,16475.340855811937
T14,Mayangone,West,MMR013D004,2400.8839127412552,2728.4211417078973,0.7911168511611304,28,14.108214400764329,0.5876258458767382,646.5864095052082,547,15.253544807434082,-1.9102489948272705,44.91732406616211,5.1237330357313144,MMR013042,198113,0.19219334420255108,0.062413874909773716,198113,0.0,33,39,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,27.02052460159885,7331.944990745195
T15,Kyeemyindaing,West,MMR013D004,2291.589613513152,2571.2647585988043,0.7831245315190879,28,12.53276480026397,0.5469026708080793,586.725308227539,547,7.779721736907959,1.0,29.861473083496094,3.648998425319508,MMR013038,111514,0.22130853525117922,0.059741377764226916,111514,0.0,16,29,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,4.374128401089422,25493.99326554435
T16,Latha,West,MMR013D004,2289.115305307176,2606.333278524876,0.7751922107635493,28,13.56564692056227,0.5926152732066896,590.5887329101562,547,14.432904243469238,3.038264036178589,32.58474349975586,8.522465581757116,MMR013036,25057,0.10915113541126233,0.09322744143353155,25057,0.0,10,17,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,0.6159336422952327,40681.33038914205
T17,Mingalartaungnyunt,East,MMR013D002,2397.5961583866015,2717.6209052205086,0.7796745039383824,28,14.249773576184255,0.5943358528641146,617.62421875,547,11.186634063720703,0.5,29.84434700012207,6.245449670915175,MMR013022,132494,0.20163177200477003,0.06427460866152429,132494,0.0,11,14,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,4.975481956884059,26629.380057681
T18,Tamwe,East,MMR013D002,2397.5961583866015,2717.6209052205086,0.7796745039383824,28,14.249773576184255,0.5943358528641146,617.62421875,547,12.171119689941406,1.0,28.698749542236328,6.221697702045666,MMR013015,165313,0.17486828017155337,0.07451319617936883,165313,0.0,43,83,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,4.955091330274811,33362.25086104148
T19,Thaketa,East,MMR013D002,2451.0645867943763,2782.280389499664,0.782447477269596,28,14.737569325828616,0.6012721739455728,632.7297348022461,547,6.074254035949707,0.5,19.250661849975586,3.0726561688976717,MMR013013,220556,0.2021119352908105,0.06364370046609479,220556,0.0,57,31,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,13.68322722838884,16118.71207856641
T20,Dagon Myothit (East),East,MMR013D002,2667.4082736072373,2993.76557229849,0.8010190637236355,28,15.115783946764475,0.5666843016244689,689.1136709359973,547,4.662581443786621,0.848092257976532,20.732484817504883,1.0990659832774772,MMR013020,165628,0.24620233293887506,0.05323979037360833,156244,9384.0,39,19,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,137.26773857523193,1206.6054392614965
T21,Ahlone,West,MMR013D004,2232.2792045116425,2528.7474183321,0.7765359470720333,28,12.510922384199295,0.5604550881858131,578.474932861328,547,10.68354606628418,-2.7541770935058594,28.51671600341797,5.153360966124878,MMR013037,55482,0.1624671064489384,0.07124833279261743,55482,0.0,11,12,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,3.298930814439682,16818.176288254028
T22,Shwepyithar,North,MMR013D001,2406.3482969495985,2759.7057618707418,0.8024611858959705,28,15.65225423022578,0.6504567210851115,627.1383949279783,547,6.599477767944336,1.8301204442977905,36.93889617919922,2.6362169372846,MMR013007,343526,0.2491398031007842,0.048106984624162366,279795,63731.0,72,76,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,56.04090266791698,6129.915537507325
T23,Sanchaung,West,MMR013D004,2291.589613513152,2571.2647585988043,0.7831245315190879,28,12.53276480026397,0.5469026708080793,586.725308227539,547,20.66402816772461,6.1573262214660645,34.25590133666992,6.500356598301823,MMR013039,99619,0.1497806643311015,0.08133990503819552,99619,0.0,43,41,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,2.433847543108323,40930.665637657105
T24,Kawhmu,South,MMR013D003,2592.3350912638575,2851.4669593246354,0.8039604690000115,28,12.564171516405946,0.484666182190222,715.7031248393812,547,7.555881500244141,-2.6918137073516846,55.573909759521484,2.2122186578363627,MMR013028,119050,0.29403611927761447,0.05254094918101638,8600,110450.0,8,6,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,615.5146112332496,193.41539230315027
T25,North Okkalapa,East,MMR013D002,2496.449585581961,2897.528534310205,0.794169880128088,28,17.356567072630543,0.6952500532304745,654.458793422154,547,5.424383163452148,0.48250678181648254,15.201192855834961,2.4298654534129502,MMR013012,333293,0.20952135208360212,0.06254256765068573,333293,0.0,107,127,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,27.86033917605978,11962.99147306852
T26,Cocokyun,South,MMR013D003,3168.1530233775247,3378.9375056385993,0.6921119102382394,28,13.449216659320381,0.424512848971618,933.013766479492,547,19.00391387939453,-1.5614467859268188,106.03202056884766,11.390268642902297,MMR013032,1940,0.18608247422680413,0.01804123711340206,1940,0.0,0,0,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,33.31375251821431,58.234208197929796
T27,Yankin,East,MMR013D002,2460.934495442443,2800.242497694492,0.7865162337934674,28,14.442476453658646,0.5868696009749776,663.8139282226562,547,13.326987266540527,4.494170188903809,32.32482147216797,4.2914669522885625,MMR013010,70946,0.1788261494657909,0.0816113663913399,70946,0.0,15,12,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,4.7737103493902575,14861.814984032679
T28,Thanlyin,South,MMR013D003,2799.746488788393,3090.603434420586,0.8026392068240701,28,14.366624870273917,0.5131402049365962,743.137353515625,547,4.836902618408203,0.0,51.58793258666992,1.3326194261405553,MMR013023,268063,0.2581818453124825,0.05213699764607574,86065,181998.0,37,15,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,359.47156446478374,745.7140605797799
T29,Mingaladon,North,MMR013D001,2480.1365543490206,2847.9068131605786,0.8038327465546917,28,16.282531620090246,0.6565175450334847,650.4335403442382,547,16.76430320739746,1.1844372749328613,58.861961364746094,3.9913759484754494,MMR013002,331586,0.2315357101928308,0.048605791559354135,198396,133190.0,27,26,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,128.33907191310803,2583.671481000738
T30,Dagon Myothit (South),East,MMR013D002,2574.711428404384,2898.2027091693876,0.7931886227462727,28,14.544341814433178,0.564892113888145,672.5891064453124,547,5.281793594360352,1.0,15.548233985900879,2.15072090033458,MMR013018,371646,0.24882549522933115,0.04838206250033634,371646,0.0,33,29,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,37.39535744340413,9938.292488912997
T31,Kamaryut,West,MMR013D004,2350.900022514661,2613.782098865509,0.7893823250076851,28,12.554607216328682,0.5340340761449963,621.343078613281,547,20.602048873901367,-2.744889974594116,42.7804069519043,5.820833954164416,MMR013041,84569,0.14188414194326526,0.06852392720736913,84569,0.0,139,25,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,6.399633655921053,13214.662673972794
T32,Thingangyun,East,MMR013D002,2518.066654365151,2842.6019005934395,0.7891758118096245,28,14.260057899980225,0.566309786727049,656.9591328938802,547,7.228809356689453,-0.0031770800705999136,20.873275756835938,3.3601340777224538,MMR013009,209486,0.20038570596603114,0.07014788577756986,209486,0.0,51,62,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,13.047460242310953,16055.69176755706
T33,Bahan,West,MMR013D004,2382.030779762621,2683.007969768842,0.7828670211261027,28,13.684718122899044,0.5744979552389655,613.6425130208333,547,24.160112380981445,8.193734169006348,52.56132507324219,7.348169202889332,MMR013044,96732,0.15353760906421868,0.07854691312078733,96732,0.0,47,39,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,8.495393802401901,11386.405651101304
T34,Dawbon,East,MMR013D002,2420.87206972705,2754.6925335884093,0.7800360372997072,28,14.826595522124999,0.6124485348701916,621.2081278483072,547,6.553042888641357,0.5,16.860286712646484,3.6056902490895553,MMR013014,75325,0.23370726850315302,0.051908396946564885,75325,0.0,12,9,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,3.013970079392308,24991.953475260583
T35,Pabedan,West,MMR013D004,2345.9514061027103,2683.9191387176515,0.7739141158525604,28,14.620371456925273,0.6232171484410178,598.154504394531,547,14.929019927978516,-1.6762875318527222,28.915334701538086,8.854306597454563,MMR013034,33336,0.17833573314134868,0.08441324694024478,33336,0.0,6,16,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,0.634611610014492,52529.766984941765
T36,Twantay,South,MMR013D003,2301.8381702537135,2568.1344619352644,0.7925942911252959,28,12.640494893985025,0.5491478531087075,593.6367236625855,547,5.376342296600342,-1.578295111656189,46.254051208496094,1.68295059494958,MMR013027,226836,0.2991015535452926,0.04680033151704315,43092,183744.0,5,5,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,721.7182901930544,314.29991879424733
T37,Seikgyikanaungto,South,MMR013D003,2246.6732786814373,2497.7111483454705,0.7785439412388605,28,11.133208977917011,0.49554196792027727,585.2335037231445,547,4.147201061248779,0.5,14.014917373657227,2.3092900611625393,MMR013031,34003,0.2993265300120578,0.04176102108637473,34003,0.0,2,2,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,12.054183411566589,2820.846409834152
T38,Dagon,West,MMR013D004,2344.5928859498767,2644.4428319096564,0.7813601763114291,28,13.391269188224111,0.5711554133117162,601.9107345581054,547,25.797039031982422,4.814697742462158,66.74594116210938,7.012924649069109,MMR013043,25082,0.1663742923211865,0.0713659197831114,25082,0.0,14,6,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,4.8796958530794035,5140.0744544706895
T39,Seikkan,West,MMR013D004,2289.115305307176,2606.333278524876,0.7751922107635493,28,13.56564692056227,0.5926152732066896,590.5887329101562,547,5.188374996185303,0.5,23.673967361450195,5.4139683014555295,MMR013045,2826,0.18719037508846426,0.03750884642604388,2826,0.0,1,2,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,1.2460986021350298,2267.8783164975966
T40,South Okkalapa,East,MMR013D002,2506.707010827462,2844.2420063614845,0.7888426702545251,28,14.446487727953665,0.5763133731047767,659.1492294311518,547,6.83333683013916,1.0,16.181732177734375,2.9803012363888555,MMR013011,161126,0.18015714409840747,0.07700805580725643,161126,0.0,46,39,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,8.311196517903603,19386.618960688713
T41,Taikkyi,North,MMR013D001,2352.286018550877,2630.248463698612,0.8181529612852274,28,16.595961571192834,0.705524814597876,634.4738616943359,547,37.535194396972656,-3.7708687782287598,486.6855163574219,6.042594333303075,MMR013005,277268,0.2857379863525542,0.059094450134887545,88000,189268.0,5,10,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,1764.4203361594375,157.14396072056232
T42,Hlaing,West,MMR013D004,2364.048587350492,2656.326254828771,0.7928624859098915,28,12.852248632012655,0.5436541660261228,637.8058797200518,547,10.75696849822998,1.5,30.4370059967041,4.249370943837689,MMR013040,160307,0.17328001896361356,0.06922342754839153,160307,0.0,46,48,73.54819259542168,217.18272840445786,624.881527813253,239.58333,166,10.141294812860503,15807.35033920023
T43,Dala,South,MMR013D003,2421.9105419888324,2709.9719447549187,0.7871209176387101,28,12.924868107894387,0.5336641417515241,651.075568033854,547,3.577669382095337,0.0,16.147804260253906,0.9638796041143438,MMR013030,172857,0.2893200738182428,0.04293144043920698,119366,53491.0,21,7,87.80785338289157,258.9393190771084,745.3446957981928,295.27593,166,229.60488242501606,752.8454890607621
T44,Hlaingtharya,North,MMR013D001,2316.3059966964197,2606.52770570755,0.7911697306743515,28,13.47885178658491,0.5819115352552221,607.9304528808593,547,4.400853157043457,-9.23947525024414,21.50362205505371,2.1034367654687895,MMR013008,687867,0.2396306262693224,0.031987288240313896,482128,205739.0,103,22,77.89492134728916,229.8821489439759,658.7481585843374,246.525325,166,84.46341294082369,8143.964067399571
T45,Dagon Myothit (Seikkan),East,MMR013D002,2702.440434007211,3002.155049965598,0.8003286036612022,28,14.083101406213403,0.5211253217274733,704.5908952192823,547,4.1979804039001465,0.5,18.10814666748047,1.1885271458747488,MMR013021,167448,0.2600926854904209,0.03861497300654532,150076,17372.0,15,24,81.15523703801205,239.6130675583735,688.1608066945782,264.28845,166,77.18818382704679,2169.3475827232264
